epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.654,2.00745,3.84064,1.4444,0.36488,0.53865,0.43196,0.29296,1.17392,2.04952,1.07192,6.29786e-05,6.29786e-05,6.29786e-05
2,423.571,1.3653,2.14444,1.14373,0.59128,0.68839,0.69662,0.51065,0.98336,1.41846,1.00437,0.000119743,0.000119743,0.000119743
3,620.429,1.23212,1.73435,1.09296,0.72517,0.72,0.78168,0.58307,0.94251,1.15524,0.99424,0.00017027,0.00017027,0.00017027
4,815.34,1.16311,1.52104,1.07225,0.75551,0.79042,0.82329,0.61906,0.91997,1.02257,0.98449,0.000160934,0.000160934,0.000160934
5,1011.35,1.11957,1.3837,1.05712,0.82521,0.80509,0.86031,0.65874,0.87914,0.91527,0.97273,0.000151578,0.000151578,0.000151578
6,1207.56,1.09169,1.30116,1.04371,0.83094,0.82463,0.87927,0.67692,0.86737,0.85137,0.96479,0.000142222,0.000142222,0.000142222
7,1397.09,1.05974,1.23696,1.03076,0.81956,0.84582,0.88484,0.68505,0.85888,0.83101,0.96262,0.000132867,0.000132867,0.000132867
8,1587.3,1.04607,1.18547,1.02768,0.84044,0.84167,0.89072,0.69474,0.84032,0.78895,0.95515,0.000123512,0.000123512,0.000123512
9,1776.49,1.01858,1.12963,1.01801,0.86158,0.87826,0.91198,0.71008,0.83683,0.74025,0.95335,0.000114156,0.000114156,0.000114156
10,1958.32,1.00895,1.10813,1.01289,0.85777,0.86899,0.9053,0.71002,0.82778,0.75545,0.94894,0.000104801,0.000104801,0.000104801
11,2151.32,0.8432,0.71024,0.95498,0.87501,0.86942,0.92087,0.72994,0.80121,0.70931,0.93724,9.5445e-05,9.5445e-05,9.5445e-05
12,2339.88,0.81605,0.65776,0.94098,0.882,0.87883,0.92091,0.73149,0.79648,0.69015,0.93593,8.60895e-05,8.60895e-05,8.60895e-05
13,2530.24,0.80208,0.63894,0.93449,0.88494,0.88151,0.92596,0.73803,0.7872,0.67793,0.93467,7.6734e-05,7.6734e-05,7.6734e-05
14,2718.99,0.7863,0.6076,0.92706,0.88334,0.88647,0.92955,0.74041,0.78956,0.66992,0.93264,6.73785e-05,6.73785e-05,6.73785e-05
15,2902.44,0.7766,0.59193,0.92563,0.89787,0.8819,0.92975,0.74671,0.77616,0.65085,0.92547,5.8023e-05,5.8023e-05,5.8023e-05
16,3084.24,0.76141,0.57223,0.91873,0.89879,0.88102,0.93334,0.74593,0.7844,0.64294,0.93011,4.86675e-05,4.86675e-05,4.86675e-05
17,3269.78,0.74963,0.55863,0.91431,0.91321,0.88568,0.93938,0.75634,0.76927,0.61323,0.924,3.9312e-05,3.9312e-05,3.9312e-05
18,3458.84,0.74968,0.54313,0.91159,0.899,0.89673,0.93816,0.75631,0.76462,0.61768,0.92146,2.99565e-05,2.99565e-05,2.99565e-05
19,3649.86,0.72964,0.52804,0.90568,0.90151,0.90096,0.94043,0.75939,0.75664,0.60622,0.9179,2.0601e-05,2.0601e-05,2.0601e-05
20,3843.56,0.72378,0.51473,0.90398,0.90759,0.89962,0.94215,0.76202,0.75508,0.59865,0.91631,1.12455e-05,1.12455e-05,1.12455e-05
