epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,26805.9,1.11212,1.35998,1.02165,0.82071,0.82103,0.87239,0.67559,0.87034,0.89186,0.93055,4.30542e-05,4.30542e-05,4.30542e-05
41,27497.1,0.94824,0.9163,0.95039,0.81328,0.82881,0.87465,0.67639,0.86923,0.89689,0.93035,3.9312e-05,3.9312e-05,3.9312e-05
42,28161.3,0.93588,0.88511,0.94659,0.82576,0.82522,0.87781,0.67946,0.86539,0.88647,0.92839,3.55698e-05,3.55698e-05,3.55698e-05
43,28798.8,0.92622,0.86314,0.94134,0.82489,0.83289,0.87927,0.68009,0.86354,0.87681,0.92794,3.18276e-05,3.18276e-05,3.18276e-05
44,29420.4,0.9213,0.85974,0.93793,0.83445,0.82938,0.87947,0.68091,0.862,0.87833,0.92725,2.80854e-05,2.80854e-05,2.80854e-05
45,30045.4,0.91485,0.84112,0.93739,0.84062,0.82749,0.87995,0.68334,0.86128,0.87793,0.92669,2.43432e-05,2.43432e-05,2.43432e-05
46,30651.2,0.913,0.83787,0.93951,0.84826,0.8223,0.88045,0.68465,0.8581,0.87388,0.92577,2.0601e-05,2.0601e-05,2.0601e-05
47,31309.1,0.90946,0.83287,0.93531,0.83921,0.82884,0.88112,0.68545,0.85861,0.86878,0.92603,1.68588e-05,1.68588e-05,1.68588e-05
48,31987.3,0.90619,0.83044,0.93174,0.84119,0.83262,0.88221,0.68629,0.85763,0.86391,0.92587,1.31166e-05,1.31166e-05,1.31166e-05
49,32677.8,0.90393,0.82035,0.93515,0.84081,0.83469,0.88287,0.68678,0.85692,0.86292,0.92592,9.3744e-06,9.3744e-06,9.3744e-06
50,33351,0.90328,0.82009,0.93186,0.84479,0.83241,0.8831,0.68681,0.85611,0.8656,0.92581,5.6322e-06,5.6322e-06,5.6322e-06
